appid;release_date;english;developer;publisher;required_age;categories;genres;steamspy_tags;achievements;gusta o no gusta;median_playtime;owners;price
774191;2018-01-25;0.13150664608837087;Boris Zapotocky;Boris Zapotocky;-0.13094760419024004;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor";"Casual;Indie";"Indie;Casual;Puzzle";-0.08831350953743064;1;-0.22595143720744532;-0.5285757041394258;-0.17486013
744420;2017-11-10;0.13150664608837087;"Nikita ""Ghost_RUS""";Ghost_RUS Games;-0.13094760419024004;"Single-player;Steam Achievements";"Adventure;Casual;Indie";"Adventure;Casual;Indie";-0.0437348495942531;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
652360;2018-09-13;0.13150664608837087;ASA Studio;ASA Studio;-0.13094760419024004;"Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support";"Action;Casual;Indie";"Indie;Casual;4 Player Local";-0.005524569642958071;1;-0.22595143720744532;-0.5285757041394258;0.4507288
874330;2018-07-06;0.13150664608837087;Fly Troll Studio;Fly Troll Studio;-0.13094760419024004;"Single-player;Steam Achievements";"Casual;Indie;RPG";"RPG;Indie;Casual";-0.1106028395090194;0;-0.22595143720744532;-0.5285757041394258;-0.49334174
724010;2017-10-24;0.13150664608837087;Dark Room Games;Dark Room Games;-0.13094760419024004;"Single-player;Full controller support";Indie;"Indie;Survival Horror;Gore";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.3568496
412140;2015-10-28;0.13150664608837087;"Zykov Eddy;Xitilon";Siberian Digital;-0.13094760419024004;Single-player;"Adventure;Free to Play;Indie";"Free to Play;Indie;Adventure";-0.13289216948060817;1;-0.18831750560427793;1.6892244530889344;-0.68556815
821570;2018-03-30;0.13150664608837087;dimeStudios;dimeStudios;-0.13094760419024004;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support";"Action;Casual;Indie;Sports";"Casual;Action;Gore";-0.07557674955366563;1;-0.22595143720744532;-0.5285757041394258;-0.23173183
509980;2017-01-01;0.13150664608837087;CyberLight Game Studio;CyberLight Game Studio;-0.13094760419024004;"Single-player;Online Co-op;Steam Trading Cards";"Adventure;Indie;Early Access";"Early Access;Multiplayer;Horror";-0.09468188952931314;1;-0.22595143720744532;0.9499577340128144;0.7237131
102400;2011-06-10;0.13150664608837087;Michael Brough;Michael Brough;-0.13094760419024004;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats";"Action;Indie;Strategy";"Strategy;Action;Indie";-0.09468188952931314;1;-0.22595143720744532;0.21069101493669423;0.10949847
424320;2015-12-30;0.13150664608837087;Anvil Drop, LLC;Black Shell Media ;-0.13094760419024004;"Single-player;Full controller support";"Adventure;Casual;Indie";"Adventure;Indie;Casual";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;0.10949847
47130;2010-07-08;0.13150664608837087;Gogii;iWin;-0.13094760419024004;Single-player;Adventure;"Adventure;Hidden Object";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;0.10949847
393660;2015-09-02;0.13150664608837087;Frostcloud Studios;Frostcloud Studios;-0.13094760419024004;Single-player;"Action;Casual;Indie;Strategy";"Action;Strategy;Indie";-0.13289216948060817;1;-0.22595143720744532;0.21069101493669423;0.22324191
633370;2017-12-18;0.13150664608837087;5Wolf;5Wolf;8.110510002188503;"Single-player;Steam Achievements;Steam Trading Cards";"Adventure;Indie;Racing";"Sexual Content;Indie;Nudity";0.5739980096183498;1;-0.22595143720744532;0.21069101493669423;-0.32272658
650940;2019-01-25;0.13150664608837087;Portal Entertainment;Portal Entertainment;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Indie;RPG";"Indie;RPG;Rogue-like";-0.024629709618605587;1;-0.22595143720744532;-0.5285757041394258;0.6099697
497080;2016-12-02;0.13150664608837087;Oliver Boyce;Immanitas Entertainment;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards";"Action;Adventure;Indie";"Indie;Adventure;Action";0.0008438103489244337;1;0.7982291299930384;-0.5285757041394258;-0.049742308
1024440;2019-03-26;-7.604178417933438;Loser/s;Hakoniwa Studio;-0.13094760419024004;"Single-player;Partial Controller Support";"Adventure;RPG;Strategy";"Nudity;Adventure;Strategy";-0.09468188952931314;1;-0.22595143720744532;-0.5285757041394258;0.48485184
841870;2018-05-10;0.13150664608837087;Bamboo Secrets Co.,Limited;Bamboo Secrets Co.,Limited;-0.13094760419024004;Single-player;"Violent;Action;Indie";"Indie;Action;Violent";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.68556815
656130;2018-12-24;0.13150664608837087;Battle Crafters LLC;Battle Crafters LLC;-0.13094760419024004;"Single-player;Steam Achievements;Partial Controller Support";"Action;Adventure;Indie;RPG";"Gore;Action;Indie";-0.05647160957801811;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
399880;2015-10-06;0.13150664608837087;Poisson Rouge Interactica ltd;Poisson Rouge Interactica ltd;-0.13094760419024004;"Single-player;Steam Trading Cards";Casual;"Casual;Education;Family Friendly";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.4592187
360740;2015-10-15;0.13150664608837087;Moppin;Devolver Digital;-0.13094760419024004;"Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards";"Action;Adventure;Indie";"Platformer;Indie;Action";-0.06920836956178313;1;0.06436746373127447;2.4284911721650544;-0.4592187
857740;2018-06-05;0.13150664608837087;Manic Machine;Manic Machine;-0.13094760419024004;"Single-player;Steam Cloud";"Action;Indie;Racing;Early Access";"Early Access;Indie;Racing";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.0042449753
744720;2017-11-27;0.13150664608837087;New Horizon Productions;New Horizon Productions;-0.13094760419024004;"Single-player;Partial Controller Support";"Action;Adventure;Indie;RPG;Simulation;Early Access";"Early Access;Action;Adventure";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;0.1322472
905120;2018-08-13;0.13150664608837087;"Sean J. Miller;Brenda J. Miller;Connor H. Miller";Raising Awesome;-0.13094760419024004;"Single-player;Full controller support";"Indie;Strategy;Early Access";"Early Access;Strategy;Indie";-0.10423445951713689;1;-0.22595143720744532;-0.5285757041394258;-0.49334174
435070;2016-01-11;0.13150664608837087;OrionSoft;OrionSoft;-0.13094760419024004;Single-player;Adventure;"Adventure;Point & Click";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.4478444
620340;2017-04-12;0.13150664608837087;热泉 RedSpring;热泉 RedSpring;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards";"Casual;Indie;Strategy";"Strategy;Indie;Casual";-0.03418227960642934;1;-0.22595143720744532;-0.5285757041394258;-0.5047161
